	5Dimes	BetDSI	BookMaker	Bovada	SportBet	Sportsbook	BetUS	Pinnacle	SportsInt.	SBG Global	TheGreek	BetOnline	Props
Chad Mendes	+115	+116	+117	+110	+118	+110	+120	+120	+115	+110	+105	+120		32 
Frankie Edgar	-135	-136	-137	-140	-132	-140	-150	-133	-145	-130	-135	-140		32 
Artem Lobov	-165	-165	-165	-175	-162	-185	-165	-162	-180	-165	-190	-165		21 
Ryan Hall	+145	+140	+140	+145	+148	+150	+135	+146	+140	+145	+145	+145		21 
Edson Barboza	+130	+137	+137	+130	+133	+130	+125	+126	+140	+160	+130	+140		22 
Tony Ferguson	-150	-163	-163	-160	-147	-160	-155	-139	-180	-185	-170	-160		22 
Evan Dunham	-190	-190	-191	-190	-186	-200	-190	-180	-200	-220	-230	-180		22 
Joe Lauzon	+165	+160	+161	+155	+169	+165	+155	+162	+155	+185	+170	+155		22 
Mike Pierce	+180	+185	+185	+170	+186	+177	+175	+175	+195	+190	+170	+175		22 
Ryan Laflare	-220	-220	-220	-210	-214	-220	-220	-195	-270	-230	-230	-205		22 
Jason Knight	+235	+220	+220	+225	+241	+250	+220	+228	+235	+200	+200	+240		22 
Tatsuya Kawajiri	-275	-265	-265	-285	-269	-330	-300	-257	-325	-280	-275	-280		22 
Gabriel Gonzaga	+120	+110	+110	+120	+123	-110	+120	+128	+105	+105	+100	+125		22 
Konstantin Erokhin	-140	-130	-130	-150	-137	-120	-150	-141	-135	-125	-130	-145		22 
Geane Herrera	-130	-115	-115	-130	-127	-110	-130	-122	-115	-105	-110	-120		22 
Joby Sanchez	+110	-105	-105	+100	+113	-120	+100	+111	-115	-115	-120	+100		22 
Julian Erosa	+105	+105	+105	+100	+108	-105	+100	+108	-140	-130	-115	+105		21 
Marcin Wrzosek	-125	-125	-125	-130	-122	-125	-130	-119	+110	+110	-113	-125		21 
Abner Lloveras	+125	+120	+120	+130	+128	+135	+125	+136	+130	+140	+115	+125		21 
Chris Gruetzemacher	-145	-140	-140	-160	-142	-165	-155	-150	-165	-160	-150	-145		21 
