5Dimes	BetDSI	BookMaker	Bovada	SportBet	Sportsbook	BetUS	Pinnacle	SportsInt.	SBG Global	TheGreek	BetOnline	Props
Chad Mendes	+185	+180	+180	+185	+183	+170	+175	+180	+165	+190	+175	+185		35 
Jose Aldo	-200	-215	-215	-235	-210	-210	-220	-201	-222	-250	-240	-220		35 
Glover Teixeira	-210	-243	-240	-240	-214	-210	-240	-212	-278	-230	-300	-235		25 
Phil Davis	+190	+200	+200	+190	+186	+170	+190	+190	+210	+180	+215	+200		25 
Fabio Maldonado	-130	-120	-120	-135	-132	-140	-130	-127	-120	-135	-125	-130		25 
Hans Stringer	+120	+100	+100	+105	+118	+110	+100	+115	-111	+105	-105	+110		25 
Darren Elkins	-220	-220	-220	-225	-219	-245	-230	-206	-208	-200	-220	-210		25 
Lucas Martins	+200	+185	+185	+175	+191	+197	+180	+185	+160	+160	+160	+180		25 
Beneil Dariush	+225	+205	+205	+200	+221	+212	+200	+205	+190	+180	+180	+210		25 
Carlos Ferreira	-245	-245	-245	-260	-249	-270	-260	-230	-250	-230	-250	-250		25 
Neil Magny	-200	-215	-215	-235	-205	-280	-230	-213	-233	-210	-250	-220		25 
William Macario	+185	+180	+180	+185	+180	+217	+180	+191	+180	+170	+180	+185		25 
Naoyuki Kotani	+568	+525	+525	+525	+559	+550	+500	+625	+500	+450	+435	+575		25 
Yan Cabral	-700	-725	-725	-850	-716	-800	-800	-781	-833	-750	-750	-800		25 
Scott Jorgensen	+195	+175	+175	+175	+191	+177	+165	+195	+160	+160	+150	+190		25 
Wilson Reis	-215	-205	-205	-225	-219	-220	-210	-218	-208	-200	-200	-225		25 
Andre Fili	-160	-155	-155	-170	-162	-150	-170	-164	-169	-145	-155	-164		25 
Felipe Arantes	+150	+135	+135	+140	+148	+120	+140	+148	+135	+115	+120	+144		25 
Christos Giagos	+360	+305	+305	+325	+358	+375	+350	+365	+325	+310	+270	+360		25 
Gilbert Burns	-405	-375	-375	-450	-417	-500	-500	-425	-455	-400	-400	-460		25 
Fabricio Camoes	-105	-115	-115	-115	-107	-110	-115	-105	-115	-120	-120	-105		25 
Tony Martin	-105	-105	-105	-115	-107	-120	-115	-105	-115	-110	-110	-115		25 
