	5Dimes	BetDSI	BookMaker	Bovada	SportBet	Sportsbook	BetUS	Pinnacle	SportsInt.	SBG Global	TheGreek	BetOnline	Props
Bethe Correia	+1100	+975	+916	+750	+1190	+800	+800	+1000	+800	+1000	+680	+1000		41 
Ronda Rousey	-1700	-1975	-1753	-1600	-1610	-1600	-1800	-1500	-1400	-1800	-1600	-1700		41 
Fernando Bruno	+175	+180	+180	+170	+180	+140	+160	+180	+155	+160	+145	+175		26 
Glaico Franca	-210	-212	-212	-210	-205	-170	-200	-201	-195	-185	-190	-205		26 
Antonio erioNogueira	+190	+205	+205	+175	+196	+177	+200	+214	+165	+200	+160	+210		24 
Mauricio Rua	-230	-245	-245	-225	-224	-220	-250	-240	-220	-240	-240	-245		24 
Dileno Lopes	-450	-370	-398	-375	-437	-450	-400	-425	-360	-400	-380	-400		26 
Reginaldo Vieira	+360	+275	+323	+285	+373	+325	+300	+365	+250	+325	+250	+330		26 
Antonio igoNogueira	+155	+155	+155	+140	+158	+145	+140	+155	+135	+150	+130	+157		24 
Stefan Struve	-175	-185	-185	-170	-172	-175	-170	-172	-175	-170	-170	-182		24 
Antonio Silva	+160	+160	+160	+145	+164	+155	+155	+164	+170	+175	+155	+155		27 
Soa Palelei	-185	-185	-185	-175	-181	-190	-190	-182	-230	-210	-210	-180		27 
Claudia Gadelha	-450	-450	-425	-450	-437	-370	-450	-418	-425	-400	-450	-410		26 
Jessica Aguilar	+360	+310	+330	+325	+373	+285	+325	+360	+295	+325	+300	+340		26 
Demian Maia	-240	-235	-250	-260	-234	-195	-240	-230	-260	-240	-240	-225		26 
Neil Magny	+200	+195	+210	+200	+206	+160	+190	+205	+190	+200	+175	+190		26 
Patrick Cummins	-190	-185	-185	-200	-186	-195	-190	-183	-190	-175	-185	-185		26 
Rafael Cavalcante	+165	+160	+160	+160	+169	+160	+155	+165	+150	+155	+140	+160		26 
Nordine Taleb	+280	+275	+275	+245	+289	+197	+245	+289	+235	+200	+215	+270		26 
Warlley Alves	-340	-335	-335	-315	-331	-245	-325	-330	-325	-280	-300	-330		26 
Iuri Alcantara	-250	-235	-235	-250	-244	-250	-260	-235	-260	-260	-260	-240		26 
Leandro Issa	+210	+195	+195	+195	+216	+200	+200	+210	+190	+220	+185	+205		26 
Clint Hester	-140	-140	-139	-145	-137	-150	-140	-133	-145	-160	-150	-138		26 
Vitor Miranda	+120	+120	+119	+115	+123	+120	+110	+120	+115	+140	+115	+118		26 
Guido Cannetti	+450	+450	+430	+450	+472	+325	+450	+450	+450	+360	+350	+470		26 
Hugo Viana	-600	-700	-550	-700	-578	-450	-700	-650	-700	-450	-550	-620		26 
