	5Dimes	BetDSI	BookMaker	Bovada	SportBet	Sportsbook	BetUS	Pinnacle	SportsInt.	SBG Global	TheGreek	BetOnline	Props
Josh Barnett	-345	-330	-330	-335	-336	-260	-350	-301	-335	-335	-330	-300		32 
Roy Nelson	+285	+265	+265	+255	+294	+207	+250	+265	+240	+255	+230	+250		32 
Gegard Mousasi	-400	-725	-485	-450	-389	-400	-550	-381	-550	-400	-525	-400		22 
Urijah Hall	+325	+435	+385	+325	+336	+300	+375	+330	+370	+325	+335	+330		22 
Chico Camus	+335	+385	+351	+325	+348	+315	+325	+350	+295	+345	+300	+350		22 
Kyoji Horiguchi	-420	-590	-446	-450	-407	-425	-450	-406	-425	-430	-450	-450		22 
George Roop	+200	+210	+210	+200	+206	+185	+200	+215	+180	+200	+175	+210		22 
Takeya Mizugaki	-240	-250	-250	-260	-234	-230	-260	-241	-240	-240	-240	-250		22 
Alan Yoshihiro Yamaniha	+140	+135	+135	+130	+143		+130	+139	+125			+135		1 
Norifumi Yamamoto	-160	-160	-160	-160	-157		-160	-154	-160			-155		1 
Mizuto Hirota	-290	-285	-285	-280	-283	-275	-300	-265	-310	-290	-280	-280		22 
Teruto Ishihara	+245	+235	+235	+220	+252	+190	+220	+235	+225	+210	+200	+240		22 
Diego Brandao	-230	-270	-265	-270	-234	-220	-260	-247	-240	-240	-240	-260		22 
Katsunori Kikuno	+210	+220	+220	+210	+206	+177	+200	+220	+180	+200	+175	+220		22 
Keita Nakamura	+255	+260	+260	+240	+263	+217	+250	+250	+220	+240	+210	+250		22 
Li Jingliang	-310	-315	-315	-310	-302	-280	-350	-283	-300	-320	-290	-300		22 
Nick Hein	-365	-385	-385	-400	-356	-380	-375	-362	-370	-365	-350	-330		22 
Yusuke Kasuya	+305	+315	+315	+300	+314	+290	+275	+315	+260	+265	+245	+270		22 
Kajan Johnson	-320	-316	-316	-310	-311	-300	-300	-295	-325	-320	-300	-300		22 
Naoyuki Kotani	+260	+262	+262	+240	+269	+235	+220	+260	+235	+240	+215	+250		22 
Roger Zapata	-105	-105	-105	-110	-102	-110	-110	+100	-115	-105	-120	-105		22 
Shinsho Anzai	-115	-115	-115	-120	-112	-120	-120	-110	-115	-115	-110	-115		22 
