	5Dimes	BetDSI	BookMaker	Bovada	SportBet	Sportsbook	BetUS	Pinnacle	SportsInt.	SBG Global	TheGreek	BetOnline	Props
Luke Rockhold	-145	-135	-135	-150	-142	-130	-150	-145	-150	-150	-170	-150		35 
Lyoto Machida	+125	+115	+115	+120	+128	+100	+120	+131	+120	+120	+130	+130		35 
Chris Camozzi	+1050	+830	+830	+750	+1132	+725	+700	+915	+900	+800	+660	+900		30 
Ronaldo Souza	-1600	-1305	-1305	-1400	-1518	-1300	-1400	-1250	-1600	-1600	-1500	-1600		30 
Cub Swanson	-155	-150	-134	-170	-152	-145	-150	-153	-120	-130	-130	-160		25 
Max Holloway	+135	+130	+114	+140	+138	+115	+120	+138	-110	+100	+100	+140		25 
Felice Herrig	+100	+100	+100	+105	+103	+115	+100	+112	-110	-110	+105	+110		25 
Paige VanZant	-120	-120	-120	-135	-117	-145	-130	-124	-120	-120	-135	-130		25 
Beneil Dariush	-165	-170	-170	-175	-162	-180	-180	-170	-175	-165	-185	-175		25 
Jim Miller	+145	+145	+145	+145	+148	+147	+150	+153	+135	+135	+140	+150		25 
Ovince St. Preux	-105	-110	-110	-105	-102	-115	-115	+104	-115	-110	-110	-105		25 
Patrick Cummins	-115	-110	-110	-125	-112	-115	-115	-115	-115	-120	-120	-115		25 
Corey Anderson	-400	-410	-400	-375	-389	-500	-400	-352	-435	-380	-420	-400		25 
Gian Villante	+325	+330	+325	+285	+336	+375	+300	+307	+300	+290	+285	+330		25 
Aljamain Sterling	-345	-360	-360	-350	-336	-350	-350	-325	-360	-380	-400	-355		25 
Takeya Mizugaki	+285	+295	+295	+265	+294	+270	+250	+285	+250	+290	+270	+290		25 
George Sullivan	+135	+135	+135	+125	+138	+145	+125	+133	+125	+140	+115	+130		25 
Tim Means	-155	-155	-155	-155	-152	-175	-155	-147	-160	-170	-150	-150		25 
Diego Brandao	-140	-135	-135	-145	-137	-155	-140	-134	-135	-165	-155	-135		25 
Jimy Hettes	+120	+115	+115	+115	+123	+125	+110	+121	+105	+135	+120	+115		25 
Chris Dempsey	+310	+295	+295	+325	+319	+375	+275	+317	+325	+360	+300	+310		25 
Eddie Gordon	-370	-360	-360	-450	-361	-500	-375	-364	-475	-450	-450	-375		25 
