5Dimes	BetDSI	BookMaker	Bovada	SportBet	Sportsbook	BetUS	Pinnacle	SportsInt.	SBG Global	TheGreek	BetOnline	Props
Anthony Johnson	-250	-270	-270	-265	-244	-285	-260	-253	-250	-260	-275	-265		36 
Ryan Bader	+210	+215	+215	+205	+216	+220	+200	+220	+185	+220	+200	+225		36 
Ben Rothwell	+120	+117	+117	+115	+123	+120	+110	+120	+105	+120	+110	+115		26 
Josh Barnett	-140	-137	-137	-145	-137	-150	-140	-135	-135	-140	-145	-135		26 
Iuri Alcantara	+150	+135	+135	+145	+153	+140	+145	+150	+135	+140	+125	+144		26 
Jimmie Rivera	-170	-160	-160	-175	-167	-170	-175	-170	-175	-160	-165	-164		26 
Bryan Barberena	+235	+225	+225	+220	+241	+215	+210	+240	+190	+225	+180	+225		26 
Sage Northcutt	-275	-270	-270	-280	-269	-275	-280	-277	-260	-265	-250	-265		26 
Jake Ellenberger	+225	+214	+214	+210	+231	+190	+210	+225	+200	+220	+185	+215		26 
Tarec Saffiedine	-265	-259	-259	-270	-259	-235	-280	-259	-275	-260	-260	-255		26 
Diego Ferreira	+220	+225	+225	+200	+226	+190	+200	+210	+200	+220	+200	+220		26 
Olivier Aubin-Mercier	-260	-270	-270	-260	-254	-235	-260	-241	-275	-260	-275	-260		26 
Kevin Casey	+155	+155	+155	+150	+158	+145	+150	+160	+140	+155	+130	+155		26 
Rafael Natal	-175	-180	-180	-185	-172	-175	-180	-181	-180	-175	-170	-180		26 
Dustin Ortiz	-275	-255	-255	-280	-269	-225	-280	-265	-235	-265	-240	-275		26 
Wilson Reis	+235	+210	+210	+220	+241	+180	+210	+230	+175	+225	+175	+235		26 
Alexander Yakovlev	-105	-110	-110	-110	-102	-115	-110	-106	-125	-125	-120	-105		26 
George Sullivan	-115	-110	-110	-120	-112	-115	-120	-106	-105	+105	-110	-115		26 
Alex Caceres	-290	-263	-290	-300	-283	-275	-300	-290	-290	-275	-290	-280		26 
Masio Fullen	+245	+217	+240	+230	+252	+215	+220	+250	+210	+195	+210	+240		26 
Matt Dwyer	+125	+125	+125	+120	+128	+110	+115	+125	+105	+130	+110	+120		26 
Randy Brown	-145	-145	-145	-150	-142	-140	-145	-141	-135	-150	-145	-140		26 
Damon Jackson	+295	+265	+265	+270	+304	+205	+250	+290	+240	+220	+220	+275		26 
Levan Makashvili	-355	-325	-325	-360	-346	-255	-350	-340	-335	-300	-310	-325		26 
Felipe Olivieri	+135	+135	+135	+130	+138	+165	+125	+135	+125	+160	+125	+135		26 
Tony Martin	-155	-160	-160	-160	-152	-200	-155	-152	-160	-185	-165	-155		26 
Event props														56 
