5Dimes	BetDSI	BookMaker	Bovada	SportBet	Sportsbook	BetUS	Pinnacle	SportsInt.	SBG Global	TheGreek	BetOnline	Props
Anthony Johnson	-120	-118	-117	-130	-117	-115	-125	-119	-115	-125	-110	-126		36 
Daniel Cormier	+100	-102	-103	+100	+103	-115	-105	+108	-115	+105	-120	+106		36 
Chris Weidman	-420	-450	-420	-375	-407	-350	-400	-362	-495	-400	-550	-390		35 
Vitor Belfort	+335	+335	+315	+285	+348	+270	+300	+315	+335	+325	+365	+325		35 
Donald Cerrone	-700	-725	-725	-700	-670	-600	-750	-675	-800	-750	-750	-650		25 
John Makdessi	+500	+500	+500	+450	+530	+425	+475	+475	+500	+525	+435	+475		25 
Andrei Arlovski	+400	+400	+400	+350	+415	+295	+350	+400	+350	+350	+325	+360		25 
Travis Browne	-500	-500	-500	-500	-485	-390	-500	-470	-525	-440	-500	-460		25 
John Moraga	+525	+500	+500	+475	+559	+425	+475	+500	+500	+480	+445	+475		25 
Joseph Benavidez	-750	-675	-700	-750	-716	-600	-750	-700	-800	-660	-775	-650		25 
John Dodson	-800	-1000	-1000	-800	-763	-700	-800	-750	-800	-700	-825	-700		26 
Zach Makovsky	+550	+700	+565	+500	+587	+500	+500	+550	+500	+450	+465	+525		26 
Dong Hyun Kim	-210	-215	-215	-225	-205	-200	-210	-208	-240	-230	-240	-215		25 
Josh Burkman	+175	+180	+180	+175	+180	+165	+165	+186	+180	+190	+175	+185		25 
Rafael Natal	+335	+325	+315	+325	+348	+270	+325	+330	+275	+305	+300	+330		25 
Uriah Hall	-420	-400	-400	-450	-407	-350	-450	-381	-390	-380	-450	-400		25 
Nina Ansaroff	+250	+250	+250	+240	+257	+240	+220	+250	+270	+250	+220	+250		25 
Rose Namajunas	-300	-300	-300	-310	-293	-320	-300	-283	-385	-300	-310	-300		25 
Colby Covington	-325	-320	-320	-335	-316	-290	-350	-313	-300	-300	-350	-300		25 
Mike Pyle	+265	+265	+265	+255	+274	+225	+250	+275	+220	+220	+245	+250		25 
Islam Makhachev	-500	-485	-485	-450	-485	-400	-550	-470	-475	-400	-450	-475		25 
Leo Kuntz	+400	+385	+385	+325	+415	+300	+375	+400	+325	+325	+300	+375		25 
Josh Sampo	+400	+400	+400	+350	+415	+300	+350	+400	+360	+345	+350	+370		25 
Justin Scoggins	-500	-500	-500	-500	-485	-400	-500	-470	-540	-430	-550	-470		25 
