	5Dimes	BetDSI	BookMaker	Bovada	SportBet	Sportsbook	BetUS	Pinnacle	SportsInt.	SBG Global	TheGreek	BetOnline	Props
Holly Holm	+525	+700	+635	+525	+559	+575	+550	+614	+550	+450	+660	+600		65 
Ronda Rousey	-750	-1650	-1000	-850	-716	-900	-900	-801	-900	-750	-1495	-900		65 
Joanna Jedrzejczyk	-1400	-1750	-1750	-1400	-1329	-1400	-1400	-1313	-1500	-1400	-2200	-1400		37 
Valerie Letourneau	+925	+925	+925	+750	+996	+725	+700	+901	+850	+950	+790	+850		37 
Antonio Silva	+245	+245	+230	+220	+252	+210	+220	+245	+240	+210	+185	+235		26 
Mark Hunt	-290	-310	-285	-280	-283	-265	-300	-277	-335	-290	-260	-275		26 
Robert Whittaker	+135	+140	+140	+145	+138	+140	+130	+140	+145	+135	+140	+142		26 
Urijah Hall	-155	-165	-165	-175	-152	-170	-160	-155	-185	-155	-180	-162		26 
Jared Rosholt	+140	+150	+145	+135	+143	+147	+130	+140	+160	+140	+140	+140		26 
Stefan Struve	-160	-200	-170	-165	-157	-180	-160	-155	-210	-160	-185	-160		26 
Akbarh Arreola	+650	+700	+650	+600	+702	+625	+600	+650	+700	+650	+590	+675		26 
Jake Matthews	-1000	-1400	-1000	-1000	-948	-1000	-1000	-950	-1200	-1100	-1200	-1000		26 
Kyle Noke	+205	+210	+205	+190	+211	+190	+190	+205	+205	+205	+160	+195		26 
Peter Sobotta	-245	-250	-245	-240	-239	-235	-240	-230	-280	-245	-220	-230		26 
Anthony Perosh	+450	+455	+450	+425	+472	+450	+425	+450	+400	+475	+315	+465		26 
Gian Villante	-600	-700	-600	-650	-578	-650	-650	-650	-625	-600	-480	-615		26 
Danny Martinez	+115	+105	+105	+110	+118	+105	-105	+125	-110	+100	-115	+120		26 
Richie Vaculik	-135	-125	-125	-140	-132	-135	-125	-138	-120	-120	-115	-140		26 
Anton Zafir	+325	+310	+310	+300	+336	+290	+300	+325	+320	+270	+260	+310		26 
James Moontasri	-400	-380	-380	-400	-389	-380	-400	-374	-470	-370	-380	-375		26 
Richard Walsh	-420	-425	-425	-450	-407	-400	-400	-387	-475	-420	-360	-390		26 
Steven Kennedy	+335	+335	+335	+325	+348	+300	+300	+335	+325	+335	+250	+325		26 
Daniel Kelly	+230	+225	+225	+215	+236	+212	+210	+230	+220	+190	+185	+220		26 
Steve Montgomery	-270	-270	-270	-275	-264	-270	-280	-259	-300	-270	-260	-260		26 
Ben Nguyen	-130	-130	-130	-135	-127	-130	-135	-125	-145	-130	-135	-135		26 
Ryan Benoit	+110	+110	+110	+105	+113	+100	+105	+113	+115	+110	+105	+115		26 
