	5Dimes	BetDSI	BookMaker	Bovada	SportBet	Sportsbook	BetUS	Pinnacle	SportsInt.	SBG Global	TheGreek	BetOnline	Props
Antonio Silva	-155	-168	-168	-170	-157	-160	-170	-167	-213	-160	-210	-165		28 
Frank Mir	+145	+144	+144	+140	+143	+130	+140	+151	+170	+130	+155	+145		28 
Edson Barboza	-135	-130	-130	-145	-137	-140	-140	-125	-167	-135	-170	-132		21 
Michael Johnson	+125	+110	+110	+115	+123	+110	+110	+113	+130	+105	+130	+112		21 
Cezar Ferreira	-340	-385	-370	-375	-331	-320	-375	-356	-385	-370	-360	-360		21 
Sam Alvey	+280	+310	+305	+285	+289	+240	+275	+310	+290	+270	+250	+295		21 
Adriano Martins	+340	+331	+331	+325	+336	+400	+325	+336	+375	+300	+350	+330		21 
Rustam Khabilov	-380	-405	-405	-450	-389	-550	-450	-388	-556	-500	-550	-400		21 
Frankie Saenz	+725	+700	+600	+525	+702	+600	+600	+550	+575	+700	+525	+775		21 
Iuri Alcantara	-925	-1000	-1000	-850	-948	-900	-1000	-850	-1000	-1000	-1000	-1200		21 
Santiago Ponzinibbio	+185	+185	+185	+160	+180	+177	+175	+170	+175	+180	+150	+180		21 
Sean Strickland	-200	-220	-220	-200	-205	-220	-220	-189	-227	-230	-200	-210		21 
Jessica Andrade	-270	-285	-285	-300	-274	-330	-300	-277	-278	-280	-300	-300		21 
Marion Reneau	+248	+235	+235	+230	+246	+250	+220	+245	+210	+210	+215	+250		21 
Matt Dwyer	+365	+336	+345	+325	+358	+300	+325	+350	+325	+340	+270	+365		21 
William Macario	-410	-415	-425	-450	-417	-400	-450	-406	-455	-430	-400	-465		21 
Mike De La Torre	+205	+200	+200	+190	+201	+210	+180	+205	+175	+185	+160	+190		21 
Tiago Trator	-225	-240	-240	-240	-229	-265	-230	-230	-233	-235	-220	-225		21 
T.J. Waldburger	+130	+118	+118	+120	+128	+110	+120	+128	+110	+110	+110	+120		20 
Wendell Oliveira	-140	-138	-138	-150	-142	-140	-150	-141	-141	-140	-140	-140		20 
Cody Gibson	-245	-238	-238	-270	-249	-235	-260	-254	-278	-260	-275	-255		21 
Douglas Silva	+225	+200	+200	+210	+221	+190	+200	+226	+210	+200	+200	+215		21 
Ivan Jorge	-260	-250	-275	-280	-264	-240	-280	-270	-250	-270	-250	-270		21 
Josh Shockley	+240	+210	+230	+220	+236	+195	+210	+239	+195	+210	+180	+230		21 
