5Dimes	BetDSI	BookMaker	Bovada	SportBet	Sportsbook	BetUS	Pinnacle	SportsInt.	SBG Global	TheGreek	BetOnline	Props
Mark Hunt	+195	+200	+200	+195	+201	+195	+200	+211	+190	+180	+180	+220		30 
Stipe Miocic	-235	-240	-240	-250	-229	-240	-260	-237	-260	-230	-250	-260		30 
Brad Tavares	-135	-137	-137	-145	-132	-155	-140	-130	-145	-130	-145	-138		20 
Robert Whittaker	+115	+117	+117	+115	+118	+125	+110	+118	+115	+100	+110	+118		20 
Anthony Perosh	-130	-140	-140	-145	-132	-160	-145	-127	-150	-140	-155	-143		20 
Sean OConnell	+120	+120	+120	+115	+118	+130	+115	+115	+120	+110	+120	+123		20 
Jake Matthews	-190	-190	-191	-200	-186	-200	-190	-178	-210	-200	-200	-185		20 
James Vick	+165	+161	+161	+160	+169	+165	+155	+160	+160	+160	+150	+160		20 
Daniel Hooker	+245	+251	+251	+245	+252	+225	+220	+255	+260	+230	+215	+250		20 
Hatsu Hioki	-290	-302	-302	-315	-283	-290	-300	-289	-370	-310	-300	-300		20 
Jonavin Webb	-110	-110	-110	-120	-107	-120	-115	-105	-115	-120	-110	-110		20 
Kyle Noke	-110	-110	-110	-110	-107	-110	-115	-105	-115	-110	-120	-110		20 
Daniel Kelly	+300	+285	+286	+265	+309	+250	+250	+285	+335	+290	+270	+310		20 
Sam Alvey	-360	-345	-346	-350	-351	-330	-350	-325	-495	-380	-400	-375		20 
Bec Rawlings	-220	-195	-195	-200	-214	-230	-220	-206	-235	-210	-185	-215		20 
Lisa Ellis	+180	+166	+166	+160	+186	+185	+175	+185	+175	+170	+140	+185		20 
Brad Scott	+110	+101	+105	-105	+113	-115	-105	+113	-120	-110	-110	+100		20 
Dylan Andrews	-130	-121	-125	-125	-127	-115	-125	-125	-110	-120	-120	-120		20 
Alex Chambers	+210	+205	+206	+195	+216	+235	+200	+210	+200	+185	+179	+205		20 
Kailin Curran	-250	-245	-246	-250	-244	-300	-260	-235	-275	-235	-250	-240		20 
Brendan O'Reilly	+120	+110	+114	+110	+123	+125	+110	+123	+110	+100	-105	+115		20 
Vik Grujic	-140	-130	-134	-140	-137	-155	-140	-136	-140	-130	-125	-135		20 
Alptekin Ozkilic	-230	-225	-225	-240	-224	-220	-230	-225	-220	-200	-200	-220		20 
Ben Nguyen	+190	+190	+184	+190	+196	+177	+180	+201	+165	+160	+150	+185		20 
