5Dimes	BetDSI	BookMaker	Bovada	SportBet	Sportsbook	BetUS	Pinnacle	SportsInt.	SBG Global	TheGreek	BetOnline	Props
Junior Santos	-400	-485	-465	-450	-407	-475	-450	-425	-413	-450	-450	-465		31 
Stipe Miocic	+355	+360	+365	+325	+348	+350	+325	+365	+300	+360	+300	+365		31 
Nathan Diaz	+250	+245	+245	+225	+249	+225	+220	+245	+195	+215	+215	+235		25 
Rafael Anjos	-275	-295	-295	-285	-279	-290	-300	-277	-264	-285	-300	-275		25 
Alistair Overeem	-200	-215	-215	-235	-205	-215	-220	-211	-222	-230	-220	-225		25 
Stefan Struve	+185	+180	+180	+185	+180	+175	+175	+189	+162	+180	+160	+190		25 
Gabriel Gonzaga	+120	+107	+107	+100	+118	+130	+100	+110	+108	+100	+105	+100		25 
Matt Mitrione	-130	-127	-127	-130	-132	-160	-130	-121	-138	-130	-135	-120		25 
John Moraga	-570	-575	-575	-600	-578	-500	-600	-549	-521	-560	-600	-550		26 
Willie Gates	+480	+435	+435	+400	+472	+375	+400	+460	+361	+360	+370	+420		26 
Claudia Gadelha	-280	-305	-305	-300	-274	-360	-300	-283	-274	-290	-310	-300		25 
Joanna Jedrzejczyk	+240	+250	+250	+230	+246	+280	+220	+250	+212	+220	+220	+250		25 
Ben Saunders	-250	-280	-280	-265	-254	-300	-280	-240	-288	-275	-275	-250		25 
Joe Riggs	+230	+230	+230	+205	+226	+235	+210	+214	+212	+215	+200	+210		25 
Drew Dober	+400	+370	+370	+375	+389	+400	+350	+400	+272	+380	+325	+375		25 
Jamie Varner	-450	-465	-465	-550	-456	-550	-500	-470	-369	-470	-500	-475		25 
Derek Brunson	-470	-495	-495	-550	-485	-450	-500	-489	-417	-440	-425	-484		25 
Ed Herman	+415	+395	+395	+375	+415	+325	+350	+415	+294	+350	+290	+384		25 
Bryan Barberena	+190	+170	+170	+170	+186	+175	+165	+175	+181	+180	+170	+175		23 
Joe Ellenberger	-210	-200	-200	-210	-214	-215	-210	-195	-236	-220	-230	-205		23 
David Michaud	-230	-210	-210	-240	-234	-235	-230	-240	-236	-230	-230	-250		23 
Garett Whiteley	+210	+180	+180	+190	+206	+190	+180	+214	+177	+180	+170	+210		23 
Dustin Kimura	+185	+185	+185	+190	+191	+197	+190	+201	+185	+185	+200	+220		24 
Henry Cejudo	-225	-220	-220	-240	-219	-245	-240	-225	-237	-235	-275	-260		24 
Anthony Birchak	-270	-268	-268	-260	-274	-275	-280	-270	-250	-280	-230	-275		25 
Ian Entwistle	+248	+220	+220	+200	+246	+215	+210	+239	+188	+210	+170	+235		25 
