	5Dimes	BetDSI	BookMaker	Bovada	SportBet	Sportsbook	BetUS	Pinnacle	SportsInt.	SBG Global	TheGreek	BetOnline	Props
Alexander Gustafsson	-290	-320	-315	-300	-293	-275	-300	-253	-286	-350	-300	-275		35 
Anthony Johnson	+260	+265	+255	+230	+257	+215	+220	+225	+215	+250	+215	+235		35 
Dan Henderson	+380	+390	+400	+325	+373	+425	+325	+365	+450	+400	+350	+385		25 
Gegard Mousasi	-430	-515	-500	-450	-437	-600	-450	-425	-909	-600	-550	-500		25 
Phil Davis	-190	-186	-200	-205	-196	-220	-200	-188	-214	-200	-225	-200		25 
Ryan Bader	+175	+161	+170	+165	+174	+177	+160	+169	+154	+160	+165	+170		25 
Akira Corassani	-130	-123	-125	-135	-132	-110	-135	-130	-131	-130	-130	-120		25 
Sam Sicilia	+120	+103	+105	+105	+118	-120	+105	+118	-106	+100	+100	+100		25 
Albert Tumenov	-150	-160	-160	-165	-152	-155	-150	-144	-204	-155	-165	-155		25 
Nico Musoke	+140	+135	+135	+135	+138	+125	+120	+130	+145	+125	+125	+135		25 
Kenny Robertson	+165	+170	+170	+150	+164	+150	+150	+155	+151	+160	+135	+155		25 
Sultan Aliev	-175	-200	-200	-185	-181	-185	-180	-172	-215	-200	-180	-180		25 
Andy Ogle	-175	-170	-170	-175	-172	-160	-170	-166	-217	-175	-160	-177		25 
Makwan Amirkhani	+155	+145	+145	+145	+158	+130	+140	+150	+150	+145	+125	+152		25 
Nikita Krylov	-130	-124	-124	-135	-127	-110	-120	-127	-157	-125	-125	-130		25 
Stanislav Nedkov	+110	+103	+103	+105	+113	-120	-110	+115	+112	-105	-105	+110		25 
Anthony Christodoulou	+850	+800	+700	+700	+839	+800	+700	+750	+676	+650	+525	+725		25 
Mairbek Taisumov	-1050	-1200	-1200	-1200	-1136	-1500	-1400	-1150	-1541	-950	-1000	-1050		25 
Konstantin Erokhin	-430	-375	-375	-450	-437	-400	-450	-406	-562	-380	-400	-415		25 
Viktor Pesta	+380	+305	+305	+325	+373	+300	+325	+350	+328	+290	+270	+345		25 
Mirsad Bektic	-925	-900	-900	-1000	-948	-800	-1000	-950	-1364	-700	-700	-900		25 
Paul Redmond	+725	+600	+600	+600	+702	+550	+600	+650	+575	+450	+415	+600		25 
Chris Beal	-215	-207	-207	-210	-210	-250	-210	-195	-272	-200	-220	-205		25 
Neil Seery	+178	+177	+177	+170	+183	+200	+165	+175	+185	+160	+160	+175		25 
